This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","1"
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","19"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","28"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","29"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","59"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","71"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","73"
"CWAF","ILE ROUGE(MA",-69.5500,48.0800,69,"ASOS","171"
"CWAJ","ERIEAU (MAPS",-81.9000,42.2500,289,"ASOS","174"
"CWAS","PAM ROCKS",-123.3000,49.4833,0,"ASOS","178"
"CWBE","KILLARNEY (M",-81.4800,45.9700,196,"ASOS","184"
"CWCJ","PUKASKWA PAR",-86.3000,48.6000,42,"ASOS","206"
"CWDQ","LA TUQUE",-72.8000,47.4200,169,"ASOS","233"
"CWEC","WELCOME ISLA",-89.1167,48.3667,209,"ASOS","241"
"CWEH","EASTEND CYPR",-108.9800,49.4300,1078,"ASOS","245"
"CWEI","MELITA, MAN",-100.9833,49.2833,446,"ASOS","246"
"CWET","EGBERT METEO",-79.7833,44.2333,251,"ASOS","256"
"CWEZ","SATURNA ISL",-123.0500,48.7800,7,"ASOS","261"
"CWFQ","FRELIGHSBURG",-72.8300,45.0500,152,"ASOS","272"
"CWGD","GODERICH (AU",-81.7200,43.7700,119,"ASOS","280"
"CWGN","GRETNA (MARS",-97.5700,49.0300,251,"ASOS","286"
