This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","1"
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","11"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","17"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","19"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","28"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","29"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","41"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"NMPI","NAMPA",-116.6369,43.4417,803,"AGRIMET","56"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","59"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","65"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","71"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","73"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS","2442"
"K87Q","PT PIEDRAS(C",-121.2847,35.6656,17,"ASOS","2599"
"K9V9","CHAMBERLAIN",-99.3183,43.7667,516,"ASOS","2657"
"KAAO","COLONEL JAME",-97.2189,37.7497,432,"ASOS","2662"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","2664"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","2666"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","2667"
